id	genes
R10209	k249_2771598_8
R09382	(k249_2806495_2) or (k249_2970280_4)
R09383	(k249_2806495_2) or (k249_2970280_4)
R09384	(k249_2806495_2) or (k249_2970280_4)
R09386	(k249_2806495_2) or (k249_2970280_4)
R07063	k249_3152777_2
R03905	(k249_3328914_3) or (k249_3328914_4) or (k249_3328914_5)
R04212	(k249_3328914_3) or (k249_3328914_4) or (k249_3328914_5)
R00540	k249_3328914_12
R01498	k249_3359821_1
R09736	k249_3836202_5
