id	genes
R01547	(k249_188005_14) or (k249_241809_1)
R11319	(k249_188005_14) or (k249_241809_1)
R01011	k249_188005_15
R01012	(k249_188005_15) or (k249_945323_44) or (k249_945323_45)
R01059	k249_188005_15
R01567	k249_195882_3
R02099	k249_195882_3
R08233	k249_195882_3
R00754	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3) or (k249_2525945_18)
R02124	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3)
R04880	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3) or (k249_2525945_18)
R05233	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3) or (k249_2525945_18)
R05234	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3) or (k249_2525945_18)
R06917	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3) or (k249_2525945_18)
R06927	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3) or (k249_2525945_18)
R07105	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3)
R08281	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3)
R08306	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3)
R08310	(k249_222963_1) or (k249_1015053_1) or (k249_1031794_1) or (k249_1771190_3)
R10703	(k249_222963_1) or (k249_632589_2)
R10531	k249_222963_6
R00566	k249_241809_2
R11098	k249_241809_3
R11099	k249_241809_3
R04148	k249_241809_6
R00299	k249_241809_9
R01600	k249_241809_9
R01786	k249_241809_9
R00945	k249_241809_15
R09099	k249_241809_15
R01073	(k249_241809_20) or (k249_679466_8)
R03508	(k249_241809_21) or (k249_648967_3) or (k249_2950005_1)
R03509	(k249_241809_21) or (k249_648967_3) or (k249_979359_9) or (k249_2950005_1)
R00475	k249_241809_24
R00161	(k249_241809_28) or (k249_568003_13)
R00549	(k249_241809_28) or (k249_568003_13)
R00158	(k249_241809_31) or (k249_568003_13)
R00512	(k249_241809_31) or (k249_568003_13)
R01665	(k249_241809_31) or (k249_568003_13)
R02134	k249_261853_1
R00183	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R00511	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R00963	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R01126	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R01227	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R01569	(k249_280456_1) or (k249_446639_8) or (k249_1448588_7) or (k249_2339496_4)
R01664	(k249_280456_1) or (k249_446639_8) or (k249_1448588_7) or (k249_2339496_4)
R01968	(k249_280456_1) or (k249_446639_8) or (k249_1448588_7) or (k249_2339496_4)
R02088	(k249_280456_1) or (k249_446639_8) or (k249_1448588_7) or (k249_2339496_4)
R02102	(k249_280456_1) or (k249_446639_8) or (k249_1448588_7) or (k249_2339496_4)
R02323	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R02719	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R03346	(k249_280456_1) or (k249_446639_8) or (k249_2339496_4)
R00480	(k249_362844_2) or (k249_2998397_3) or (k249_2998397_13)
R01773	(k249_362844_2) or (k249_441004_11) or (k249_2998397_3) or (k249_2998397_13)
R01775	(k249_362844_2) or (k249_441004_11) or (k249_2998397_3) or (k249_2998397_13)
R00217	(k249_362844_6) or (k249_362844_7) or (k249_362844_8) or (k249_376197_8)
R00209	(k249_362844_7) or (k249_376197_8) or (k249_465104_5) or (k249_955711_30) or (k249_1041617_4) or (k249_1486087_1) or (k249_1486087_2) or (k249_2416230_1) or (k249_2416230_2) or (k249_2416230_4) or (k249_2416230_6) or (k249_3328914_18)
R00344	k249_362844_7
R01127	k249_376197_2
R04560	k249_376197_2
R00742	(k249_376197_7) or (k249_376197_8) or (k249_648967_4) or (k249_1399648_16)
R03084	k249_376197_9
R03460	(k249_376197_12) or (k249_568003_12) or (k249_568003_13)
R02971	(k249_376197_15) or (k249_945323_1) or (k249_945323_2)
R03018	(k249_376197_15) or (k249_945323_1) or (k249_945323_2)
R04391	(k249_376197_15) or (k249_945323_1) or (k249_945323_2)
R05644	k249_376197_15
R05645	k249_376197_15
R05646	k249_376197_15
R09768	k249_376197_15
R09769	k249_376197_15
R04617	(k249_376197_23) or (k249_376197_24)
R04573	k249_376197_24
R01067	(k249_394386_4) or (k249_397260_4)
R01641	(k249_394386_4) or (k249_397260_4)
R01830	(k249_394386_4) or (k249_397260_4)
R06590	(k249_394386_4) or (k249_397260_4)
R00762	k249_397260_4
R01845	k249_397260_4
